benchmark cores inputsize label label1core median median_factor offset slowdown_factor stdev stdev_factor wcet wcet1core wcet_median_factor
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1735726.5 1.0391425124749678 4.0 1.053067081519696 11541.55488587538 7.735348137930993 1761995.0 1673203.0 1.0151340087277576
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1711976.5 1.0249238929682192 5.0 1.0343204022464698 6930.659169993316 4.6450467060423275 1730628.0 1673203.0 1.0108947173048228
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1694370.0 1.0143832561536688 6.0 1.022122838651377 5680.297721034736 3.807033006711479 1710219.0 1673203.0 1.0093539191557923
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1684923.0 1.0087275383229213 7.0 1.012641024430389 3813.1521720680234 2.5556400195220967 1694354.0 1673203.0 1.0055972884220823
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1675100.0 1.00284671729493 8.0 1.0038674327024275 1875.7398114898947 1.2571530094102137 1679674.0 1673203.0 1.0027305832487612
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1671913.0 1.0009387282268034 9.0 1.001675827738774 1604.076065807912 1.0750793052963767 1676007.0 1673203.0 1.0024486920072995
malardalenmatmult 4.0 80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE80 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE80 1672916.5 1.0015395023183833 10.0 0.999919316424845 214.2533546995239 0.14359627491341515 1673068.0 1673203.0 1.0000905604075279
malardalenmatmult 4.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2604921.0 1.09810715152905 0.0 1.1052268873261084 19546.20242488794 2.315506728291211 2631795.0 2381226.0 1.01031662764437
malardalenmatmult 4.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2492454.5 1.0506967817107553 1.0 1.0589927205565537 12177.700794417891 1.4426100534336155 2521701.0 2381226.0 1.0117340156059018
malardalenmatmult 4.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2482491.5 1.0464968687188896 2.0 1.0543089988098568 10453.729682808189 1.2383828270119168 2510548.0 2381226.0 1.0113017506807174
malardalenmatmult 4.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2472343.0 1.0422187580094697 3.0 1.051240831403655 12200.343859590466 1.4452924245979228 2503242.0 2381226.0 1.012497861340437
malardalenmatmult 4.0 90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES4_WRITEATTACK1_INPUTSIZE90 CIRCLE_PI4_BENCH_MÄLARDALEN_MATMULT_CORES1_INPUTSIZE90 2459133.0 1.0366500687971294 4.0 1.0455404064964855 11627.061481469764 1.377379529044408 2489668.0 2381226.0 1.0124169778535768
